snomed_code
37117216
40391436
4333668
40619065
4262566
40386904
44794856
37395572
376094
37111242
444091
381832
4277746
4167839
40321741
376946
36674303
36675111
36675112
36674302
4177642
40386905
40386903
44800610
40356686
44798400
40386906
44795862
40356687
44796980
4038794
40540359
4103245
4098169
4098167
4103128
4098168
4101145
4303087
373995
40321752
40433581
36716780
4268911
373449
40306891
4038248
4199769
45766642
